Entity,Year,Average annual hours worked by persons engaged (avh) (PWT 9.1 (2019)),Output-side real GDP per capita (gdppc_o) (PWT 9.1 (2019))
Argentina,1950,2034,2600.2993
Argentina,1951,2037.8667,2608.6318
Argentina,1952,2041.7408,2332.4087
Argentina,1953,2045.6223,2439.375
Argentina,1954,2049.5112,2503.2183
Argentina,1955,2053.4075,2636.332
Argentina,1956,2057.311,2657.2512
Argentina,1957,2061.2222,2748.3992
Argentina,1958,2065.1406,2907.3999
Argentina,1959,2069.0667,2693.7075
Argentina,1960,2073,2851.4932
Argentina,1961,2066.2004,2897.1411
Argentina,1962,2059.4233,2903.8455
Argentina,1963,2052.6685,2758.0132
Argentina,1964,2045.9355,2853.7334
Argentina,1965,2039.2249,3157.0315
Argentina,1966,2032.5361,3179.866
Argentina,1967,2025.8694,3241.2068
Argentina,1968,2019.2245,3289.5591
Argentina,1969,2012.6013,3562.4231
Argentina,1970,2006,3611.5322
Argentina,1971,2002.6611,3660.4167
Argentina,1972,1999.3278,3661.5789
Argentina,1973,1996,3801.1082
Argentina,1974,1992.8422,3912.7463
Argentina,1975,1989.6893,3800.7595
Argentina,1976,1986.5415,3749.0464
Argentina,1977,1983.3987,3948.0234
Argentina,1978,1980.2609,3831.0532
Argentina,1979,1977.1279,4016.116
Argentina,1980,1974,3978.3108
Argentina,1981,1961.2301,3948.0635
Argentina,1982,1948.5427,4077.5071
Argentina,1983,1935.9375,4349.3804
Argentina,1984,1923.4137,4562.4604
Argentina,1985,1910.9711,4387.3833
Argentina,1986,1898.6089,4807.127
Argentina,1987,1886.3267,5042.3491
Argentina,1988,1874.1238,5290.8257
Argentina,1989,1862,5018.7002
Argentina,1990,1850,5553.8428
Argentina,1991,1837.9608,6446.5576
Argentina,1992,1826,7489.8384
Argentina,1993,1850.3378,8488.1758
Argentina,1994,1875,9765.499
Argentina,1995,1881.9612,10810.947
Argentina,1996,1888.9481,13809.471
Argentina,1997,1895.9611,14092.541
Argentina,1998,1903,13905.521
Argentina,1999,1887.285,12945.701
Argentina,2000,1862.1362,12719.655
Argentina,2001,1811.1526,11823.235
Argentina,2002,1710.0365,10015.692
Argentina,2003,1713.5746,10747.38
Argentina,2004,1730.8173,11629.042
Argentina,2005,1761.3994,12511.982
Argentina,2006,1765.6013,13452.63
Argentina,2007,1780.5565,14658.496
Argentina,2008,1781.4246,15489.022
Argentina,2009,1742.9043,14300.919
Argentina,2010,1751.7655,15841.659
Argentina,2011,1750.9741,17035.814
Argentina,2012,1726.2584,16968.105
Argentina,2013,1714.8711,16920.756
Argentina,2014,1695.364,16233.318
Argentina,2015,1691.5363,16414.078
Argentina,2016,1691.5363,16085.712
Argentina,2017,1691.5363,16466.732
Australia,1950,2178.2456,12282.998
Australia,1951,2158.1013,11561.024
Australia,1952,2138.1436,11111.49
Australia,1953,2118.3701,12323.385
Australia,1954,2098.7798,12957.638
Australia,1955,2079.3704,13298.647
Australia,1956,2060.1406,13162.046
Australia,1957,2041.0886,12961.374
Australia,1958,2022.2129,13733.637
Australia,1959,2003.5116,14318.362
Australia,1960,1984.9834,14223.364
Australia,1961,1981.3214,14303.397
Australia,1962,1977.6663,14820.865
Australia,1963,1974.0178,15573.809
Australia,1964,1970.3761,16042.415
Australia,1965,1966.7411,15928.881
Australia,1966,1963.1128,16717.168
Australia,1967,1959.4912,17157.479
Australia,1968,1955.8762,18118.461
Australia,1969,1952.2679,19066.996
Australia,1970,1948.6664,19375.006
Australia,1971,1929.967,19742.918
Australia,1972,1909.5677,20031.945
Australia,1973,1896.1807,20641.898
Australia,1974,1913.4988,19570.727
Australia,1975,1900.218,19710.787
Australia,1976,1910.6301,20364.744
Australia,1977,1912.4364,20506.762
Australia,1978,1913.2864,21251.311
Australia,1979,1918.705,21696.08
Australia,1980,1919.1102,22172.068
Australia,1981,1900.6442,22893.998
Australia,1982,1881.5066,22017.188
Australia,1983,1869.0269,23008.324
Australia,1984,1883.6864,23564.248
Australia,1985,1870.23,23813.381
Australia,1986,1880.6699,24030.885
Australia,1987,1877.5311,25530.766
Australia,1988,1874.5796,26605.639
Australia,1989,1887.2697,27222.988
Australia,1990,1867.9515,26850.439
Australia,1991,1853.8984,26420.824
Australia,1992,1851.8408,27154.258
Australia,1993,1869.6207,27813.484
Australia,1994,1877.7278,28736.486
Australia,1995,1875.9148,29886.154
Australia,1996,1868.7593,31260.986
Australia,1997,1867.0762,32515.428
Australia,1998,1851.2338,33244.352
Australia,1999,1855.8291,34543.73
Australia,2000,1854.0353,35218.34
Australia,2001,1818.213,35957.848
Australia,2002,1814.1021,36426.098
Australia,2003,1806.7209,37605.285
Australia,2004,1805.0198,38486.184
Australia,2005,1803.0101,40717.324
Australia,2006,1791.9933,40892.359
Australia,2007,1792.6515,41270.238
Australia,2008,1790.54,42713.223
Australia,2009,1761.7957,41760.043
Australia,2010,1769.3094,44854.902
Australia,2011,1768.6494,46505.781
Australia,2012,1759.5193,46175.125
Australia,2013,1755.8271,46714.156
Australia,2014,1747.937,46920.895
Australia,2015,1747.009,44831.477
Australia,2016,1734.215,46755.23
Australia,2017,1731.4943,47392.621
Austria,1950,2085.6694,5246.9312
Austria,1951,2083.0156,5512.0391
Austria,1952,2080.3652,5664.1211
Austria,1953,2077.718,5943.1113
Austria,1954,2075.0742,6368.3569
Austria,1955,2072.4338,6989.8501
Austria,1956,2069.7966,7489.9609
Austria,1957,2067.1631,7869.4209
Austria,1958,2064.5327,8162.041
Austria,1959,2061.9058,8406.6279
Austria,1960,2059.282,8984.2012
Austria,1961,2046.6298,9427.8545
Austria,1962,2034.0552,9630.5879
Austria,1963,2021.558,9960.4346
